Message,Disaster,Urgency,Assistance
"Several fishing boats have not returned to shore.",Cyclone,Critical,"Coast guard rescue"
"Water is entering homes because of storm surge.",Cyclone,Critical,"Evacuation team"
"The cyclone has damaged the harbor entrance.",Cyclone,High,"Harbor emergency team"
"Mobile networks are failing during the storm.",Cyclone,High,"Communication repair team"
"The coastal highway is covered with seawater.",Cyclone,Critical,"Road closure team"
"Strong winds are breaking windows in the building.",Cyclone,High,"Building safety team"
"The cyclone has flooded the fishing settlement.",Cyclone,Critical,"Boat rescue"
"Several electricity poles have fallen.",Cyclone,Critical,"Electricity emergency team"
"Storm waves are damaging houses near the beach.",Cyclone,Critical,"Coastal evacuation team"
"The cyclone has damaged the local school roof.",Cyclone,High,"School safety team"
"Heavy rain has caused flooding along the coast.",Cyclone,High,"Flood rescue team"
"The wind is tearing sheets from rooftops.",Cyclone,High,"Emergency repair team"
"A fishing vessel is stranded in rough seas.",Cyclone,Critical,"Marine rescue team"
"Trees have blocked several residential streets.",Cyclone,Medium,"Municipal cleanup"
"The cyclone has damaged the water supply network.",Cyclone,High,"Water utility team"
"People near the shoreline need immediate evacuation.",Cyclone,Critical,"Coastal evacuation team"
"Storm surge has entered the lower village.",Cyclone,Critical,"Mass evacuation"
"The harbor is unsafe because of massive waves.",Cyclone,Critical,"Harbor closure team"
"Strong winds have damaged a communication tower.",Cyclone,High,"Communication emergency team"
"Rain is entering buildings through broken windows.",Cyclone,Medium,"Emergency repair team"
"The cyclone has caused widespread power failures.",Cyclone,High,"Electricity emergency team"
"Several homes have lost sections of their roofs.",Cyclone,High,"Emergency shelter team"
"The coastal road is blocked by fallen trees.",Cyclone,Medium,"Road clearance team"
"Large waves are washing debris into the streets.",Cyclone,High,"Municipal cleanup"
"The storm has damaged boats at the fishing harbor.",Cyclone,High,"Marine rescue team"
"Residents are sheltering inside a community center.",Cyclone,Medium,"Shelter management team"
"Wind speeds are becoming dangerous near the coast.",Cyclone,Critical,"Emergency warning team"
"The cyclone has damaged the hospital roof.",Cyclone,Critical,"Medical facility repair team"
"Storm water is flooding the market area.",Cyclone,High,"Flood response team"
"A sea wall has been damaged by the waves.",Cyclone,High,"Coastal engineering team"
"Several people are stranded in a coastal neighborhood.",Cyclone,Critical,"Boat rescue"
"The cyclone has destroyed roadside signboards.",Cyclone,Medium,"Municipal repair team"
"Power cables are lying across the flooded road.",Cyclone,Critical,"Electricity emergency team"
"The storm has damaged the railway overhead system.",Cyclone,High,"Railway repair team"
"Strong winds have uprooted trees near the airport.",Cyclone,High,"Airport emergency team"
"The cyclone has disrupted ferry services.",Cyclone,High,"Transport emergency team"
"Sea water is entering houses along the shoreline.",Cyclone,Critical,"Mass evacuation"
"Residents are unable to leave because roads are flooded.",Cyclone,Critical,"Emergency transport"
"The storm has damaged several fishing docks.",Cyclone,High,"Harbor emergency team"
"Roof panels are flying off nearby buildings.",Cyclone,Critical,"Immediate evacuation"
"The cyclone has caused severe coastal flooding.",Cyclone,Critical,"Flood rescue team"
"Emergency food is needed at the coastal shelter.",Cyclone,Medium,"Relief supplies"
"Several streets are covered with fallen branches.",Cyclone,Medium,"Municipal cleanup"
"The storm surge has damaged the village road.",Cyclone,High,"Road repair team"
"Strong waves are threatening the harbor wall.",Cyclone,Critical,"Harbor emergency team"
"The cyclone has damaged local telephone infrastructure.",Cyclone,High,"Communication repair team"
"People are trapped inside a flooded coastal house.",Cyclone,Critical,"Boat rescue"
"The wind has damaged multiple apartment balconies.",Cyclone,High,"Building inspection team"
"The storm has caused a major power outage.",Cyclone,High,"Electricity emergency team"
"Heavy rain is entering the emergency shelter.",Cyclone,High,"Shelter relocation team"
"Several boats are drifting near the harbor.",Cyclone,Critical,"Marine rescue team"
"The cyclone has blocked the road to the clinic.",Cyclone,Critical,"Emergency route clearance"
"Floodwater is rising in the coastal market.",Cyclone,High,"Flood response team"
"The sea has crossed the protective barrier.",Cyclone,Critical,"Coastal evacuation team"
"Several homes have been damaged by storm debris.",Cyclone,High,"Damage assessment team"
"Wind has damaged the local power transformer.",Cyclone,Critical,"Electricity repair team"
"The storm has uprooted trees around the school.",Cyclone,High,"School safety team"
"People need drinking water after the cyclone.",Cyclone,Medium,"Relief supplies"
"The cyclone has damaged the fishing equipment.",Cyclone,Medium,"Relief assistance"
"Strong winds are making travel impossible.",Cyclone,High,"Transport emergency team"
"The coastal village has lost all electricity.",Cyclone,Critical,"Electricity emergency team"
"The storm has damaged several roadside shelters.",Cyclone,High,"Emergency shelter team"
"Large waves are entering the harbor area.",Cyclone,Critical,"Harbor closure team"
"The cyclone has flooded the ground floor of homes.",Cyclone,High,"Evacuation team"
"Residents report broken windows throughout the area.",Cyclone,Medium,"Emergency repair team"
"Heavy rain is causing landside flooding during the cyclone.",Cyclone,High,"Flood rescue team"
"The storm has damaged the bridge connecting the village.",Cyclone,Critical,"Bridge inspection team"
"Several people are waiting for rescue at the shelter.",Cyclone,Critical,"Rescue team"
"The cyclone has knocked down streetlights.",Cyclone,Medium,"Municipal repair team"
"Strong winds have damaged the local clinic.",Cyclone,High,"Medical emergency team"
"The sea is unusually rough and boats are missing.",Cyclone,Critical,"Coast guard rescue"
"Storm debris is blocking the emergency access road.",Cyclone,Critical,"Emergency route clearance"
"The cyclone has caused extensive damage to the coastline.",Cyclone,High,"Disaster assessment team"
"People need blankets and food at the relief center.",Cyclone,Medium,"Relief supplies"
"The wind has damaged several communication antennas.",Cyclone,High,"Communication repair team"
"The storm surge is approaching more houses.",Cyclone,Critical,"Mass evacuation"
"Trees are falling near the residential buildings.",Cyclone,Critical,"Emergency road clearance"
"The cyclone has damaged the local drainage system.",Cyclone,Medium,"Municipal drainage team"
"Coastal flooding has isolated several families.",Cyclone,Critical,"Boat rescue"
"The storm has damaged the main water pipeline.",Cyclone,High,"Water utility team"
"Strong winds are continuing after landfall.",Cyclone,High,"Emergency monitoring team"
"Several residents are stranded on upper floors.",Cyclone,Critical,"Rescue team"
"The cyclone has destroyed part of the sea wall.",Cyclone,Critical,"Coastal engineering team"
"Fallen trees have blocked the ambulance route.",Cyclone,Critical,"Emergency route clearance"
"The storm has damaged the railway station roof.",Cyclone,High,"Railway inspection team"
"Floodwater and seawater are mixing in the streets.",Cyclone,Critical,"Flood rescue team"
"The cyclone has damaged several homes near the beach.",Cyclone,High,"Damage assessment team"
"Residents need evacuation before another storm surge.",Cyclone,Critical,"Coastal evacuation team"
"The coastal power network is severely damaged.",Cyclone,High,"Electricity emergency team"
"Emergency crews cannot reach the flooded neighborhood.",Cyclone,Critical,"Emergency transport"
"The storm has left debris throughout the town.",Cyclone,Medium,"Municipal cleanup"
"Strong winds are still damaging roofs.",Cyclone,High,"Emergency repair team"
"The cyclone has disrupted food deliveries.",Cyclone,Medium,"Relief supplies"
"Several families require temporary shelter.",Cyclone,Medium,"Emergency shelter"
"The coastal highway has been closed due to waves.",Cyclone,High,"Road closure team"
"The storm has damaged the local fire station.",Cyclone,High,"Emergency facility assessment"
"Sea water has entered the basement of a building.",Cyclone,High,"Pumping equipment"
"People are trapped by floodwater after the storm.",Cyclone,Critical,"Rescue team"
"The cyclone has damaged multiple utility poles.",Cyclone,High,"Electricity repair team"
"Communication with the fishing boats has been lost.",Cyclone,Critical,"Marine rescue team"
"Wind damage has made several buildings unsafe.",Cyclone,Critical,"Building evacuation team"
"The storm has flooded the road near the port.",Cyclone,High,"Port emergency team"
"The cyclone is approaching the city with extreme winds.",Cyclone,Critical,"Mass evacuation"
"Water is collecting slowly near the roadside drain.",Flood,Low,"Municipal cleanup"
"Rainwater has started pooling in the parking area.",Flood,Low,"Municipal drainage team"
"The street drain is overflowing slightly.",Flood,Low,"Municipal cleanup"
"Small puddles are forming along the flooded street.",Flood,Low,"Municipal drainage team"
"Rainwater has entered the edge of our garden.",Flood,Low,"Municipal response"
"The school playground has minor waterlogging.",Flood,Low,"Municipal drainage team"
"Water is slowly collecting outside the shop.",Flood,Low,"Municipal cleanup"
"The drain near our house is blocked with leaves.",Flood,Low,"Municipal drainage team"
"Light flooding is visible around the roadside.",Flood,Low,"Municipal cleanup"
"Some rainwater has collected near the building entrance.",Flood,Low,"Municipal response"
"The basement floor has a small amount of rainwater.",Flood,Medium,"Pumping equipment"
"Water has entered part of the ground-floor parking area.",Flood,Medium,"Water pumping team"
"Several drains are overflowing after hours of rain.",Flood,Medium,"Municipal drainage team"
"Rainwater has covered part of the market road.",Flood,Medium,"Municipal response"
"The lower section of our street is flooded.",Flood,Medium,"Municipal drainage team"
"Water is pooling around several houses.",Flood,Medium,"Pumping equipment"
"The local road has moderate flooding after the storm.",Flood,Medium,"Road clearance team"
"Rainwater has entered the community hall.",Flood,Medium,"Cleanup team"
"Several shops have water inside their entrances.",Flood,Medium,"Relief supplies"
"The neighborhood has moderate waterlogging.",Flood,Medium,"Municipal drainage team"
"Smoke is coming from a small electrical appliance.",Fire,Low,"Fire safety inspection"
"A small amount of smoke is coming from a trash bin.",Fire,Low,"Municipal fire team"
"There is a minor fire in an outdoor waste container.",Fire,Low,"Municipal fire team"
"A small flame was noticed near some dry leaves.",Fire,Low,"Fire control team"
"The kitchen appliance is producing a little smoke.",Fire,Low,"Fire safety inspection"
"A small electrical spark caused light smoke.",Fire,Low,"Electricity emergency team"
"Some paper has caught fire in an office bin.",Fire,Low,"Fire safety inspection"
"A small amount of smoke is coming from the garage.",Fire,Low,"Fire brigade"
"There is a small fire near the roadside.",Fire,Low,"Fire brigade"
"Smoke was noticed from a charging device.",Fire,Low,"Fire safety inspection"
"The restaurant kitchen has moderate smoke.",Fire,Medium,"Fire inspection team"
"Smoke is spreading through part of the kitchen.",Fire,Medium,"Fire suppression team"
"A small electrical fire has started in the office.",Fire,Medium,"Fire brigade"
"Part of the storage room has caught fire.",Fire,Medium,"Fire suppression team"
"Smoke is coming from the basement parking area.",Fire,Medium,"Fire brigade"
"A fire has started in a small roadside stall.",Fire,Medium,"Fire brigade"
"The garbage storage area has caught fire.",Fire,Medium,"Municipal fire team"
"An electrical socket is producing smoke and sparks.",Fire,Medium,"Electricity emergency team"
"Smoke is coming from a machine in the workshop.",Fire,Medium,"Industrial fire team"
"A small fire is burning near the market.",Fire,Medium,"Fire brigade"
"The building shook slightly during a tremor.",Earthquake,Low,"Safety inspection team"
"A few objects fell from shelves during the tremor.",Earthquake,Low,"Safety assessment team"
"There are minor cracks in one interior wall.",Earthquake,Low,"Building inspection team"
"We felt a short and mild tremor.",Earthquake,Low,"Emergency monitoring team"
"A few tiles fell during the shaking.",Earthquake,Low,"Building safety team"
"The tremor caused some furniture to move.",Earthquake,Low,"Safety assessment team"
"Some small cracks appeared after the shaking.",Earthquake,Low,"Building inspection team"
"The earthquake caused minor damage to a wall.",Earthquake,Low,"Building inspection team"
"Several items fell from shelves after a mild tremor.",Earthquake,Low,"Safety inspection team"
"The ground shook briefly and then stopped.",Earthquake,Low,"Emergency monitoring team"
"Several walls have visible cracks after the earthquake.",Earthquake,Medium,"Building inspection team"
"Some ceiling plaster has fallen after the tremor.",Earthquake,Medium,"Building safety team"
"The earthquake damaged part of the interior wall.",Earthquake,Medium,"Safety assessment team"
"Several windows have cracked after the shaking.",Earthquake,Medium,"Safety inspection team"
"The tremor damaged some furniture and equipment.",Earthquake,Medium,"Safety assessment team"
"A few roads have developed small cracks after the earthquake.",Earthquake,Medium,"Road inspection team"
"Water is leaking from a pipe after the tremor.",Earthquake,Medium,"Water utility team"
"Some electrical equipment was damaged during the shaking.",Earthquake,Medium,"Electricity inspection team"
"The school building has minor structural cracks.",Earthquake,Medium,"School inspection team"
"Several homes need inspection after the earthquake.",Earthquake,Medium,"Building inspection team"
"Small rocks are falling from the hillside.",Landslide,Low,"Geological monitoring"
"Some loose soil has moved onto the roadside.",Landslide,Low,"Road cleanup team"
"A few rocks are blocking part of the mountain path.",Landslide,Low,"Road clearance team"
"Minor soil movement was noticed near the hill.",Landslide,Low,"Geological assessment team"
"Small branches and rocks are scattered on the road.",Landslide,Low,"Cleanup team"
"There is a small amount of mud on the mountain road.",Landslide,Low,"Road cleanup team"
"Some loose stones have fallen near the highway.",Landslide,Low,"Road clearance team"
"Minor cracks are visible on the hillside.",Landslide,Low,"Geological monitoring"
"A small section of roadside soil has collapsed.",Landslide,Low,"Safety inspection team"
"Light rockfall has occurred near the mountain route.",Landslide,Low,"Geological assessment team"
"Moderate mud has covered part of the mountain road.",Landslide,Medium,"Road clearance team"
"Several rocks have fallen onto the roadside.",Landslide,Medium,"Road cleanup team"
"Rain has caused soil to slide onto the road.",Landslide,Medium,"Road clearance team"
"Part of the hillside is showing signs of movement.",Landslide,Medium,"Geological monitoring"
"Several trees and rocks are blocking one lane.",Landslide,Medium,"Cleanup team"
"Moderate debris is covering the road.",Landslide,Medium,"Heavy equipment team"
"Some mud has entered the edge of a house.",Landslide,Medium,"Safety inspection team"
"The retaining wall has developed several cracks.",Landslide,Medium,"Engineering inspection team"
"Small rockfalls are continuing near the highway.",Landslide,Medium,"Geological monitoring"
"Part of the mountain path is blocked by mud.",Landslide,Medium,"Road clearance team"
"Moderate soil has accumulated across the roadside after rainfall.",Landslide,Medium,"Road cleanup team"
